"Campo","N_obs","N_NA","Min","Q25","Mediana","Media","Q75","Max","SD"
"DP",37005,10971,8,10,13,13.6174,16,64,4.3754
"Q",37005,10971,0.9,0.98,1,0.9862,1,1,0.0224
"PQ",37005,10971,0.45,0.94,0.99,0.8928,1,1,0.1902
"GLDIFF",29475,18501,0.93,1.81,2.41,4.6985,3.8,152.18,6.9169
"DSNP",37005,10971,0,0,0,0,0,0,0
"DSTUTTER",37005,10971,0,0,0,0.0312,0,4,0.2153
"DFLANKINDEL",37005,10971,0,0,0,0.0228,0,4,0.1745
"AB",37005,10971,-1.97,0,0,-0.0857,0,0,0.2723
"FS",37005,10971,-1.13,0,0,-0.0094,0,0,0.0567
"DAB",6925,41051,3,9,12,12.3058,15,43,4.168
"HET",1999,0,0,0,0.16436,0.2517,0.46875,0.915512,0.2434
"HWEP",1999,0,3.45686e-07,0.251381,0.779393,0.6494,1,1,0.3764
