Motif,Dataset 1 (Discovery) n (%),Dataset 2 (Genotyping) n (%),Dataset 3 (High-confidence) n (%),D1→D2 (%),D2→D3 (%),D1→D3 (%)
Mono,"740 (2.193%)","455 (1.549%)","2 (0.100%)",61.5,0.44,0.27
Di,"17887 (53.005%)","15163 (51.619%)","137 (6.853%)",84.8,0.9,0.77
Tri,"6345 (18.802%)","5765 (19.626%)","449 (22.461%)",90.9,7.79,7.08
Tetra,"1831 (5.426%)","1636 (5.569%)","162 (8.104%)",89.4,9.9,8.85
Penta,"1358 (4.024%)","1271 (4.327%)","230 (11.506%)",93.6,18.1,16.9
Hexa,"2580 (7.645%)","2386 (8.123%)","459 (22.961%)",92.5,19.2,17.8
Hepta,"1461 (4.329%)","1359 (4.626%)","231 (11.556%)",93,17,15.8
Octa,"810 (2.400%)","729 (2.482%)","166 (8.304%)",90,22.8,20.5
Nona,"734 (2.175%)","611 (2.080%)","163 (8.154%)",83.2,26.7,22.2
Total,"33746 (100%)","29375 (100%)","1999 (100%)","Mean",86.65,13.64,12.24
