"Loco","PERIOD","n_chamado","n_total","callrate_pct"
"Dal_01:116106-116130",2,4,24,16.67
"Dal_01:133618-133643",3,0,24,0
"Dal_01:154015-154060",2,5,24,20.83
"Dal_01:185916-185962",7,16,24,66.67
"Dal_01:204143-204181",2,6,24,25
"Dal_01:204746-204784",2,14,24,58.33
"Dal_01:271373-271404",2,10,24,41.67
"Dal_01:289049-289080",9,15,24,62.5
"Dal_01:320248-320281",5,8,24,33.33
"Dal_01:381452-381480",7,8,24,33.33
"Dal_01:434141-434197",7,10,24,41.67
"Dal_01:442285-442327",6,17,24,70.83
"Dal_01:486226-486262",2,1,24,4.17
"Dal_01:489361-489414",3,9,24,37.5
"Dal_01:572795-572847",2,0,24,0
"Dal_01:606997-607054",5,10,24,41.67
"Dal_01:643988-644044",6,13,24,54.17
"Dal_01:650536-650560",1,0,24,0
"Dal_01:688417-688445",2,14,24,58.33
"Dal_01:727469-727497",2,5,24,20.83
"Dal_01:761725-761774",2,2,24,8.33
"Dal_01:772931-772962",5,17,24,70.83
"Dal_01:774562-774592",9,10,24,41.67
"Dal_01:828504-828531",8,13,24,54.17
"Dal_01:830004-830046",3,7,24,29.17
"Dal_01:840492-840532",2,12,24,50
"Dal_01:949721-949789",6,2,24,8.33
"Dal_01:964946-964989",2,6,24,25
"Dal_01:970902-970930",6,11,24,45.83
"Dal_01:971655-971684",2,6,24,25
"Dal_01:1032948-1032993",2,11,24,45.83
"Dal_01:1038531-1038571",2,2,24,8.33
"Dal_01:1074997-1075022",3,7,24,29.17
"Dal_01:1082275-1082312",2,6,24,25
"Dal_01:1098667-1098721",3,9,24,37.5
"Dal_01:1105007-1105035",2,2,24,8.33
"Dal_01:1235032-1235063",2,18,24,75
"Dal_01:1307052-1307090",6,16,24,66.67
"Dal_01:1358653-1358722",2,7,24,29.17
"Dal_01:1364202-1364257",2,9,24,37.5
"Dal_01:1370610-1370649",4,4,24,16.67
"Dal_01:1383217-1383264",2,0,24,0
"Dal_01:1428515-1428578",2,3,24,12.5
"Dal_01:1439600-1439641",2,1,24,4.17
"Dal_01:1535892-1535923",2,12,24,50
"Dal_01:1539133-1539183",2,1,24,4.17
"Dal_01:1540637-1540678",2,11,24,45.83
"Dal_01:1572915-1572947",2,6,24,25
"Dal_01:1577522-1577552",2,13,24,54.17
"Dal_01:1579543-1579586",3,11,24,45.83
"Dal_01:1581124-1581150",5,16,24,66.67
"Dal_01:1588658-1588694",6,9,24,37.5
"Dal_01:1589824-1589848",1,0,24,0
"Dal_01:1597827-1597862",2,2,24,8.33
"Dal_01:1606618-1606649",2,9,24,37.5
"Dal_01:1687952-1687995",2,2,24,8.33
"Dal_01:1711158-1711194",2,0,24,0
"Dal_01:1730811-1730852",2,1,24,4.17
"Dal_01:1738772-1738802",4,9,24,37.5
"Dal_01:1742865-1742892",5,3,24,12.5
"Dal_01:1745802-1745827",2,0,24,0
"Dal_01:1758036-1758081",2,5,24,20.83
"Dal_01:1760298-1760337",3,0,24,0
"Dal_01:1775218-1775272",2,8,24,33.33
"Dal_01:1782403-1782435",3,15,24,62.5
"Dal_01:1829119-1829147",5,2,24,8.33
"Dal_01:1832240-1832308",2,0,24,0
"Dal_01:1864223-1864284",2,8,24,33.33
"Dal_01:1885144-1885184",6,10,24,41.67
"Dal_01:1928751-1928780",2,5,24,20.83
"Dal_01:1933408-1933436",4,10,24,41.67
"Dal_01:1953410-1953463",2,1,24,4.17
"Dal_01:1962322-1962349",2,14,24,58.33
"Dal_01:1999385-1999442",2,3,24,12.5
"Dal_01:2000356-2000382",2,7,24,29.17
"Dal_01:2030563-2030626",2,2,24,8.33
"Dal_01:2034883-2034913",2,1,24,4.17
"Dal_01:2063368-2063392",8,14,24,58.33
"Dal_01:2083185-2083213",7,10,24,41.67
"Dal_01:2123948-2123972",2,9,24,37.5
"Dal_01:2170483-2170517",2,10,24,41.67
"Dal_01:2174131-2174170",2,6,24,25
"Dal_01:2174693-2174717",2,5,24,20.83
"Dal_01:2176974-2177000",2,9,24,37.5
"Dal_01:2180099-2180137",2,5,24,20.83
"Dal_01:2186891-2186916",2,10,24,41.67
"Dal_01:2189548-2189592",6,13,24,54.17
"Dal_01:2249200-2249236",2,7,24,29.17
"Dal_01:2270776-2270816",2,2,24,8.33
"Dal_01:2272502-2272537",2,10,24,41.67
"Dal_01:2272601-2272644",5,12,24,50
"Dal_01:2286388-2286424",3,6,24,25
"Dal_01:2292152-2292213",2,3,24,12.5
"Dal_01:2308282-2308310",3,8,24,33.33
"Dal_01:2322108-2322133",2,8,24,33.33
"Dal_01:2323583-2323612",2,9,24,37.5
"Dal_01:2378603-2378661",2,3,24,12.5
"Dal_01:2379826-2379874",2,0,24,0
"Dal_01:2417915-2417943",6,9,24,37.5
"Dal_01:2421973-2422012",2,4,24,16.67
"Dal_01:2443509-2443537",2,12,24,50
"Dal_01:2475232-2475263",2,12,24,50
"Dal_01:2540855-2540905",2,10,24,41.67
"Dal_01:2557842-2557867",3,7,24,29.17
"Dal_01:2588196-2588227",9,23,24,95.83
"Dal_01:2589053-2589113",2,0,24,0
"Dal_01:2613722-2613768",2,1,24,4.17
"Dal_01:2614969-2615009",2,4,24,16.67
"Dal_01:2628884-2628918",2,7,24,29.17
"Dal_01:2632856-2632886",3,12,24,50
"Dal_01:2635535-2635567",3,12,24,50
"Dal_01:2649928-2649975",3,11,24,45.83
"Dal_01:2662465-2662496",5,17,24,70.83
"Dal_01:2674539-2674569",2,7,24,29.17
"Dal_01:2685234-2685267",2,2,24,8.33
"Dal_01:2711604-2711647",3,8,24,33.33
"Dal_01:2767364-2767403",6,8,24,33.33
"Dal_01:2779866-2779912",2,5,24,20.83
"Dal_01:2787281-2787310",1,5,24,20.83
"Dal_01:2807901-2807927",2,3,24,12.5
"Dal_01:2838400-2838428",2,13,24,54.17
"Dal_01:2843399-2843435",2,4,24,16.67
"Dal_01:2848948-2849008",2,2,24,8.33
"Dal_01:2877036-2877105",2,10,24,41.67
"Dal_01:2881703-2881751",2,0,24,0
"Dal_01:2889647-2889700",6,11,24,45.83
"Dal_01:2931338-2931371",2,1,24,4.17
"Dal_01:2960732-2960773",2,4,24,16.67
"Dal_01:2988838-2988867",2,6,24,25
"Dal_01:2996837-2996901",6,9,24,37.5
"Dal_01:3025364-3025403",2,2,24,8.33
"Dal_01:3027903-3027930",8,4,24,16.67
"Dal_01:3048914-3048948",4,19,24,79.17
"Dal_01:3058538-3058564",7,5,24,20.83
"Dal_01:3068671-3068704",9,3,24,12.5
"Dal_01:3090058-3090087",2,3,24,12.5
"Dal_01:3102448-3102484",3,11,24,45.83
"Dal_01:3125782-3125809",2,15,24,62.5
"Dal_01:3145863-3145896",2,14,24,58.33
"Dal_01:3157535-3157581",4,9,24,37.5
"Dal_01:3172979-3173032",3,15,24,62.5
"Dal_01:3173341-3173393",3,15,24,62.5
"Dal_01:3209470-3209500",2,6,24,25
"Dal_01:3214039-3214066",2,9,24,37.5
"Dal_01:3214636-3214696",2,0,24,0
"Dal_01:3231050-3231076",2,5,24,20.83
"Dal_01:3251645-3251684",2,3,24,12.5
"Dal_01:3256798-3256852",2,3,24,12.5
"Dal_01:3261840-3261880",2,7,24,29.17
"Dal_01:3278610-3278641",2,15,24,62.5
"Dal_01:3288785-3288829",3,4,24,16.67
"Dal_01:3302343-3302389",2,6,24,25
"Dal_01:3313867-3313908",2,0,24,0
"Dal_01:3315389-3315423",3,0,24,0
"Dal_01:3387422-3387448",2,9,24,37.5
"Dal_01:3420172-3420204",6,15,24,62.5
"Dal_01:3422335-3422367",2,11,24,45.83
"Dal_01:3439324-3439358",2,6,24,25
"Dal_01:3440494-3440535",3,8,24,33.33
"Dal_01:3510550-3510608",2,7,24,29.17
"Dal_01:3526182-3526212",2,8,24,33.33
"Dal_01:3572042-3572072",9,9,24,37.5
"Dal_01:3579471-3579532",2,3,24,12.5
"Dal_01:3580028-3580076",2,6,24,25
